Total sections: 396

Text/Contents.xhtml:   目　录 第一卷 第二版出版说明 本书出版的说明 第一次国内革命战争时期 中国社会各阶级的分析 湖南农民运动考察报告 
Text/Section0851.xhtml:   祝贺越南南方民族解放阵线 成立九周年的电报 * （一九六九年十二月十九日） 越南南方民族解放阵线中央委员会主席团 阮
Text/Section0852.xhtml:   与黎笋的谈话 * （一九七〇年五月十一日） （一） 毛泽东：我上一次是什么时候见到你的？ 黎笋：一九六四年。我们看到
Text/Section0853.xhtml:   全世界人民团结起来， 打败美国侵略者及其一切走狗 * （一九七〇年五月二十日） 目前，在世界范围内，正出现一个反对美
Text/Section0854.xhtml:   发展自己的工业和农业 不要依靠外国 * （一九七〇年六月二十四日） （马哈古卜说，在英国还没有完全从苏丹撤走前，美国
Text/Section0855.xhtml:   帝国主义怕第三世界 * （一九七〇年七月十一日） 英联邦像是个俱乐部，中国过去也是这个俱乐部的。英国第一次世界大战时
Text/Section0856.xhtml:   国际间的事 要由大家商量解决 * （一九七〇年七月十三日） 现在这个世界上不大安宁。你热爱独立是一件事，别人总要干扰
Text/Section0857.xhtml:   改变国家体制，不设国家主席 * （一九七〇年三月、四月、七月） 改变国家体制，不设国家主席 〔1〕 。 我不能再作此
Text/Section0858.xhtml:   我的一点意见 * （一九七〇年八月三十一日） 这个材料是陈伯达 〔2〕 同志搞的，欺骗了不少同志。 第一，这里没有马
Text/Section0859.xhtml:   与斯诺的谈话 ——关于文化大革命 * （一九七〇年十二月十八日） 斯诺：我经常想给你写信，但我真正写信打扰你还只有这
Text/Section0860.xhtml:   对外宣传工作不可强加于人 * （一九六七年三月至一九七一年三月） （一）一九六八年三月七日，毛主席在一个拟在援外飞机
Text/Section0861.xhtml:   思想上政治上的路线 正确与否是决定一切的 * （一九七一年八月、九月） 希望你们要搞马克思主义，不要搞修正主义；要团
Text/Section0862.xhtml:   恢复联合国席位后的谈话 * （一九七一年十月二十六日、十一月八日） （一）（一九七一年十月二十六日） 毛泽东：小唐 
Text/Section0863.xhtml:   对反革命不要杀， 保留活证据 * （一九七一年十一月十四日） 红军的传统历来不能自己打自己。你 〔1〕 就是王佐 〔
Text/Section0864.xhtml:   会见美国总统 尼克松时的谈话 * （一九七二年二月二十一日） 尼克松：你读过很多书。总理说你读的书比他多。 毛泽东：
Text/Section0865.xhtml:   中美联合公报（“上海公报”） 中国方面的声明 * （一九七二年二月二十八日） 中国方面声明：哪里有压迫，哪里就有反抗
Text/Section0866.xhtml:   与日本首相田中角荣的谈话 * （一九七二年九月二十七日） （毛泽东与田中握手） 毛泽东：（用日语）晚上好！ 田中：晚
Text/Section0867.xhtml:   深挖洞，广积粮，不称霸 * （一九七二年十二月） 我国必须坚持和平共处五项原则，不应当有大国霸权主义思想，而在国内建
Text/Section0868.xhtml:   祝贺越南人民取得的伟大胜利 * （一九七三年一月二十九日） 河内 越南民主共和国主席孙德胜同志， 越南劳动党中央委员
Text/Section0869.xhtml:   接见基辛格时的谈话* 〔1〕 （一九七三年二月、十一月） （一）（一九七三年二月十七日） 基辛格：我看主席这次比上次
Text/Section0870.xhtml:   启用邓小平 * （一九七二年八月、一九七三年十二月） 一、一九七二年八月十四日， 对邓小平来信 〔1〕 的批示 请总
Text/Section0871.xhtml:   在政治局会议上的讲话 ——八大军区司令员对调 * （一九七三年十二月） （一）（一九七三年十二月十二日） 我提议，议
Text/Section0872.xhtml:   中国将修建青藏铁路 * （一九七三年十二月九日） 中国将修建青藏铁路 〔2〕 ，不仅要修到拉萨，而且还要与尼泊尔接轨
Text/Section0873.xhtml:   关于划分三个世界的谈话 * （一九七四年二月、三月） （一）（一九七四年二月二十二日） 毛泽东会见赞比亚总统卡翁达 
Text/Section0874.xhtml:   同英国前首相希思的谈话 * （一九七四年五月二十五日） 爱德华·希思：早上好！ 毛泽东：好！ 希思：见到你非常高兴，
Text/Section0875.xhtml:   关于理论问题的谈话要点 * （一九七四年十二月） 关于理论问题，列宁为什么说对资产阶级专政，要写文章。要告诉春桥、文
Text/Section0876.xhtml:   对在押国民党战犯、 党政军特人员一律释放 * （一九七五年二月二十七日） （一）（一九七五年二月二十七日） 〔1〕 
Text/Section0877.xhtml:   要安定团结不要分裂， 不要搞阴谋诡计 * （一九七五年五月三日） 多久不见了 〔1〕 ，有一个问题，我与你们商量，一
Text/Section0878.xhtml:   关于《水浒》的评论 * （一九七五年八月十四日） 《水浒》这部书，好就好在投降。做反面教材，使人民都知道投降派。 《
Text/Section0879.xhtml:   中美关系会一点点好起来 * （一九七五年十二月二日） 福特：主席先生，我们今天早上有一次很不错的讨论。 毛泽东：你们
Text/Section0880.xhtml:   祝贺印度支那三国抗美救国战争取得胜利 * （一九七五年四月、十二月） （一）毛泽东等祝贺柬埔寨民族解放 人民武装力量
Text/Section0881.xhtml:   走资派还在走， “永不翻案”靠不住 * （一九七五年十月——九七六年一月） 清华大学刘冰 〔1〕 等人来信告迟群 〔
Text/Section0882.xhtml:   对天安门事件的指示 * （一九七六年四月七日） 毛远新 〔1〕 ：（我汇报了四月五日、六日北京市的情况，谈到原来是打
Text/Section0883.xhtml:   后事交代 * （一九七六年六月十五日） “人生七十古来稀”，我八十多了，人老总想后事。中国有句古话叫“盖棺定论”，我
